DIRECCION ACCIDENTE,CONDICION_VICTIMA,GRAVEDAD_ACCIDENTE,CLASE_ACCIDENTE,SEXO_VICTIMA,EDAD_VICTIMA,CANTIDAD_VICTIMA,FECHA,DIA_SEMANA,RANGO_EDAD
CL 87 9H 24,Peaton,herido,Atropello,M,57,1,2018-01-01,Monday,46-60
CLLE 119B CRA 11B,Peaton,herido,Atropello,F,13,1,2018-01-01,Monday,<18
CR 8 CL 41,Acompa̱ante,herido,Choque,F,32,1,2018-01-01,Monday,31-45
CR 8 CL 41,Conductor,herido,Choque,M,26,1,2018-01-01,Monday,18-30
CR 8 CL 41,Motociclista,herido,Choque,M,53,1,2018-01-01,Monday,46-60
CIRCUNVALAR CR 9G,Acompa̱ante,herido,Choque,M,30,1,2018-01-02,Tuesday,18-30
CIRCUNVALAR CR 9G,Motociclista,herido,Choque,M,30,1,2018-01-02,Tuesday,18-30
CL 30 CR 30,Conductor,herido,Choque,M,37,1,2018-01-02,Tuesday,31-45
CLLE 110 CRA 52,Motociclista,herido,Atropello,M,36,1,2018-01-03,Wednesday,31-45
CLLE 110 CRA 52,Peaton,herido,Atropello,F,46,1,2018-01-03,Wednesday,46-60
AV CIRCUNVALAR CR 51B,Pasajero,herido,Choque,F,58,1,2018-01-03,Wednesday,46-60
CL 27B CR 20 B 44,Ciclista,herido,Choque,M,36,1,2018-01-03,Wednesday,31-45
CR 15 SUR 46 500,Motociclista,herido,Choque,M,22,1,2018-01-03,Wednesday,18-30
CR 17 CL 36B,Peaton,herido,Atropello,M,75,1,2018-01-04,Thursday,60+
CL 110 CR 10,Acompa̱ante,herido,Choque,M,46,1,2018-01-04,Thursday,46-60
CL 110 CR 10,Motociclista,herido,Choque,M,25,1,2018-01-04,Thursday,18-30
CL 82 CR 59B,Pasajero,herido,Choque,M,57,1,2018-01-04,Thursday,46-60
CR 14 CL 35,Conductor,herido,Choque,M,37,1,2018-01-04,Thursday,31-45
CR 29 CL 37,Conductor,herido,Choque,M,27,1,2018-01-04,Thursday,18-30
CRA 20B CALLE 64B,Acompa̱ante,herido,Choque,F,46,1,2018-01-05,Friday,46-60
CRA 20B CALLE 64B,Motociclista,herido,Choque,M,17,1,2018-01-05,Friday,<18
CRA 45 CLLE 53,Motociclista,herido,Choque,F,39,1,2018-01-05,Friday,31-45
CRA 49C CALLE 76,Acompa̱ante,herido,Choque,F,29,1,2018-01-05,Friday,18-30
CALLE 30 CRA 46,Motociclista,herido,Atropello,M,30,1,2018-01-06,Saturday,18-30
CALLE 30 CRA 46,Peaton,muerto,Atropello,M,74,1,2018-01-06,Saturday,60+
CLLE 110 CRA 6,Motociclista,herido,Atropello,M,31,1,2018-01-06,Saturday,31-45
CLLE 110 CRA 6,Pasajero,herido,Atropello,M,21,1,2018-01-06,Saturday,18-30
AV CORDIALIDAD CON CIRCUNVALAR,Pasajero,herido,Caida Ocupante,M,19,1,2018-01-06,Saturday,18-30
CLLE 68 CRA 60,Pasajero,herido,Choque,F,31,1,2018-01-06,Saturday,31-45
CRA 51B CALLE 90,Acompa̱ante,herido,Choque,F,32,1,2018-01-06,Saturday,31-45
CLLE 39 CRA 26B,Acompa̱ante,herido,Choque,M,19,1,2018-01-07,Sunday,18-30
CLLE 39 CRA 26B,Conductor,herido,Choque,M,29,1,2018-01-07,Sunday,18-30
CLLE 39 CRA 26B,Conductor,herido,Choque,M,64,1,2018-01-07,Sunday,60+
CR 10 CL 62,Acompa̱ante,herido,Choque,F,25,1,2018-01-07,Sunday,18-30
CR 10 CL 62,Motociclista,herido,Choque,M,28,1,2018-01-07,Sunday,18-30
CRA 58 CALLE 90,Acompa̱ante,herido,Choque,F,12,1,2018-01-07,Sunday,<18
CRA 58 CALLE 90,Acompa̱ante,herido,Choque,F,43,1,2018-01-07,Sunday,31-45
CRA 58 CALLE 90,Acompa̱ante,herido,Choque,M,33,1,2018-01-07,Sunday,31-45
CRA 58 CALLE 90,Conductor,herido,Choque,M,22,1,2018-01-07,Sunday,18-30
CRA 58 CALLE 90,Conductor,herido,Choque,M,45,1,2018-01-07,Sunday,31-45
CR 38 CL 30,Peaton,herido,Atropello,M,28,1,2018-01-08,Monday,18-30
CR 13 CL 104,Acompa̱ante,herido,Choque,M,58,1,2018-01-08,Monday,46-60
CLLE 42 CRA 41,Peaton,herido,Atropello,M,62,1,2018-01-09,Tuesday,60+
CALLE 72 CRA 38B,Motociclista,herido,Choque,M,38,1,2018-01-09,Tuesday,31-45
CLLE 72 CRA 65,Acompa̱ante,herido,Choque,F,43,1,2018-01-09,Tuesday,31-45
CLLE 72 CRA 65,Conductor,herido,Choque,M,41,1,2018-01-09,Tuesday,31-45
CR 37 CL 57,Motociclista,herido,Choque,M,33,1,2018-01-09,Tuesday,31-45
CRA 38 CLLE 80B,Motociclista,herido,Choque,F,32,1,2018-01-09,Tuesday,31-45
CRA 38 CLLE 80B,Motociclista,herido,Choque,M,25,1,2018-01-09,Tuesday,18-30
CL 34 CR 35,Motociclista,herido,Choque,M,29,1,2018-01-10,Wednesday,18-30
CRA 49 CALLE 67,Acompa̱ante,herido,Choque,F,24,1,2018-01-10,Wednesday,18-30
CRA 49 CALLE 67,Motociclista,herido,Choque,F,23,1,2018-01-10,Wednesday,18-30
VIA 40 CR 79,Conductor,herido,Choque,F,55,1,2018-01-10,Wednesday,46-60
CR 14 CL 63,Peaton,herido,Atropello,M,10,1,2018-01-11,Thursday,<18
CRA 47 CALLE 72,Peaton,herido,Atropello,F,31,1,2018-01-11,Thursday,31-45
CL 30 CR 21,Motociclista,herido,Choque,M,20,1,2018-01-11,Thursday,18-30
CL 30 CR 21,Motociclista,herido,Choque,M,27,1,2018-01-11,Thursday,18-30
CL 30 CR 44,Motociclista,herido,Choque,M,29,1,2018-01-11,Thursday,18-30
CL 30 CR 44,Pasajero,herido,Choque,M,23,1,2018-01-11,Thursday,18-30
CR 44 CL 51,Pasajero,herido,Choque,F,27,1,2018-01-11,Thursday,18-30
CR 44 CL 51,Pasajero,herido,Choque,F,28,1,2018-01-11,Thursday,18-30
CR 44 CL 51,Pasajero,herido,Choque,M,23,1,2018-01-11,Thursday,18-30
CR 44 CL 51,Pasajero,herido,Choque,M,44,1,2018-01-11,Thursday,31-45
CR 44 CL 51,Pasajero,herido,Choque,M,54,1,2018-01-11,Thursday,46-60
CR 44 CL 51,Pasajero,herido,Choque,M,56,1,2018-01-11,Thursday,46-60
CR 44 CL 51,Pasajero,herido,Choque,M,68,1,2018-01-11,Thursday,60+
CR 46 CL 54,Motociclista,herido,Choque,M,35,1,2018-01-11,Thursday,31-45
CL 110 CR 38 Y 43,Peaton,herido,Atropello,M,25,1,2018-01-12,Friday,18-30
CL 86 CR 71,Motociclista,herido,Choque,M,26,1,2018-01-12,Friday,18-30
CR 14 CL 56B,Motociclista,herido,Choque,M,21,1,2018-01-12,Friday,18-30
CR 38 CL 79A,Pasajero,herido,Choque,M,38,3,2018-01-12,Friday,31-45
CL 110 CR 26,Peaton,herido,Atropello,M,39,1,2018-01-13,Saturday,31-45
CR 42H 87 80,Motociclista,herido,Atropello,M,41,1,2018-01-13,Saturday,31-45
CR 42H 87 80,Peaton,herido,Atropello,M,50,1,2018-01-13,Saturday,46-60
CALLE 45 CRA 45,Conductor,herido,Choque,M,45,1,2018-01-13,Saturday,31-45
CL 38B CR 5A,Conductor,herido,Choque,M,37,1,2018-01-13,Saturday,31-45
CR 15 SUR CL 70,Motociclista,herido,Choque,M,27,1,2018-01-13,Saturday,18-30
CRA 34 CALLE 72,Acompa̱ante,herido,Choque,M,22,1,2018-01-13,Saturday,18-30
CRA 34 CALLE 72,Motociclista,herido,Choque,M,23,1,2018-01-13,Saturday,18-30
CRA 38 CALLE 57,Conductor,herido,Choque,M,19,1,2018-01-13,Saturday,18-30
CRA 38 CALLE 57,Pasajero,herido,Choque,M,18,1,2018-01-13,Saturday,18-30
CRA 46 CALLE 93,Pasajero,herido,Choque,M,19,1,2018-01-13,Saturday,18-30
CL 45 CR 11 SUR,Motociclista,herido,Atropello,M,57,1,2018-01-14,Sunday,46-60
CL 45 CR 11 SUR,Peaton,herido,Atropello,M,63,1,2018-01-14,Sunday,60+
AV CIRCUNVALAR CL 98 Y 106,Motociclista,herido,Choque,M,22,1,2018-01-14,Sunday,18-30
AV CIRCUNVALAR CL 98 Y 106,Pasajero,herido,Choque,M,16,1,2018-01-14,Sunday,<18
CL 110 CR 6,Ciclista,herido,Choque,M,58,1,2018-01-14,Sunday,46-60
CL 110 CR 6,Motociclista,herido,Choque,M,30,1,2018-01-14,Sunday,18-30
